Beer,Brewery,City,State,Style,Size,ABV,IBUs,Rating,Style Rating,Number of ratings,Weighted Avg,Estimated Calories
Real McCoy Amber Ale (Current),Mammoth Brewing Company,Mammoth Lakes,CA,American Amber / Red Ale,12 oz.,4.50%,N/A,46,46,70,3.05,135
Marble India Pale Ale,Marble Brewery,Albuquerque,NM,American IPA,12 oz.,6.20%,N/A,97,96,217,3.66,204
Cant Dog Imperial Pale Ale,Marshall Wharf Brewing Company,Belfast,ME,American Double / Imperial IPA,16 oz.,9.70%,N/A,93,63,55,3.53,291
Day Break,Martin House Brewing Company,Fort Worth,TX,Specialty Grain,12 oz.,5.00%,20,66,70,51,3.23,150
Blueberry Blonde Ale,Matt Brewing Company,Utica,NY,American Blonde Ale,12 oz.,5.00%,12,28,53,80,2.81,150
Pomegranate Wheat (2008),Matt Brewing Company,Utica,NY,Fruit / Vegetable Beer,12 oz.,4.70%,N/A,23,48,367,2.74,141
Adirondack Amber,Matt Brewing Company,Utica,NY,Vienna Lager,12 oz.,5.40%,N/A,29,68,742,2.84,162
Saranac Golden Pilsener (2003),Matt Brewing Company,Utica,NY,German Pilsener,12 oz.,5.10%,N/A,23,46,294,2.73,153
Saranac Pale Ale (16 oz.),Matt Brewing Company,Utica,NY,English Pale Ale,16 oz.,5.50%,N/A,43,61,905,3.02,165
Saranac Pumpkin Ale,Matt Brewing Company,Utica,NY,Pumpkin Ale,12 oz.,5.40%,N/A,35,41,541,2.92,162
Saranac Summer Ale (2011),Matt Brewing Company,Utica,NY,American Pale Wheat Ale,12 oz.,4.70%,N/A,22,33,266,2.73,141
Saranac Traditional Lager (2000),Matt Brewing Company,Utica,NY,American Pale Lager,12 oz.,4.80%,N/A,14,26,294,2.37,144
Saranac White IPA,Matt Brewing Company,Utica,NY,American IPA,12 oz.,6.00%,N/A,70,44,243,3.25,180
Aloha B'ak'tun,Maui Brewing Company,Lahaina,HI,Belgian Strong Dark Ale,12 oz.,7.00%,N/A,89,87,192,3.44,210
Big Swell IPA,Maui Brewing Company,Lahaina,HI,American IPA,12 oz.,6.20%,65,96,96,795,3.64,204
Bikini Blonde Lager,Maui Brewing Company,Lahaina,HI,Munich Helles Lager,12 oz.,4.50%,18,44,90,396,3.04,153
CoCoNut Porter,Maui Brewing Company,Lahaina,HI,American Porter,12 oz.,5.70%,30,97,99,1150,3.69,180
Flyin' HI.P.Hay,Maui Brewing Company,Lahaina,HI,American IPA,12 oz.,6.80%,68,82,58,66,3.35,204
La Perouse White,Maui Brewing Company,Lahaina,HI,Witbier,12 oz.,5.00%,12,71,89,146,3.26,156
Liquid Breadfruit,Maui Brewing Company,Lahaina,HI,Fruit / Vegetable Beer,12 oz.,8.20%,N/A,71,93,141,3.26,246
Mana Wheat,Maui Brewing Company,Lahaina,HI,American Pale Wheat Ale,12 oz.,5.50%,15,66,92,347,3.23,165
Sobrehumano Palena'ole,Maui Brewing Company,Lahaina,HI,American Amber / Red Ale,12 oz.,6.00%,24,50,86,243,3.12,180
Mickey Finn's Amber Ale,Mickey Finn's Brewery,Libertyville,IL,American Amber / Red Ale,12 oz.,5.60%,N/A,36,42,24,2.92,168
Kodiak Brown Ale,Midnight Sun Brewing Company,Anchorage,AK,American Brown Ale,12 oz.,5.00%,24,79,88,279,3.33,150
Snowshoe White Ale,Midnight Sun Brewing Company,Anchorage,AK,Witbier,12 oz.,4.80%,12,60,81,31,3.19,144
Sockeye Red IPA,Midnight Sun Brewing Company,Anchorage,AK,American IPA,12 oz.,5.70%,70,95,92,407,3.57,171
AXL Pale Ale,MillKing It Productions,Royal Oak,MI,American Pale Ale (APA),16 oz.,5.20%,N/A,53,43,20,3.13,N/A
BRIK Irish Red Ale,MillKing It Productions,Royal Oak,MI,Irish Red Ale,16 oz.,4.80%,N/A,44,51,21,3,144
Booyah Farmhouse Ale,Milwaukee Brewing Company,Milwaukee,WI,Saison / Farmhouse Ale,16 oz.,6.50%,20,49,21,66,3.11,195
Hop Happy,Milwaukee Brewing Company,Milwaukee,WI,American IPA,16 oz.,7.50%,51,52,28,90,3.14,225
Louieâ€™s Demise Ale (2010),Milwaukee Brewing Company,Milwaukee,WI,American Amber / Red Ale,16 oz.,5.10%,24,62,85,132,3.2,153
O-Gii,Milwaukee Brewing Company,Milwaukee,WI,Witbier,16 oz.,9.20%,N/A,75,92,37,3.29,276
Dead Horse Amber,Moab Brewery,Moab,UT,American Pale Wheat Ale,16 oz.,4.00%,N/A,28,31,84,2.82,120
Johnny's American IPA,Moab Brewery,Moab,UT,American IPA,16 oz.,4.00%,N/A,62,39,67,3.2,120
Rocket Bike American Lager,Moab Brewery,Moab,UT,California Common / Steam Beer,16 oz.,4.00%,N/A,66,90,72,3.23,165
Boneshaker Brown Ale,Moat Mountain Smoke House & Brew...,North Conway,NH,English Brown Ale,24 oz.,5.50%,N/A,71,81,46,3.26,165
Iron Mike Pale Ale,Moat Mountain Smoke House & Brew...,North Conway,NH,American Pale Ale (APA),24 oz.,5.60%,N/A,72,66,57,3.27,168
Aurora  ,Modern Times Beer,San Diego,CA,American Amber / Red Ale,16 oz.,6.70%,75,89,97,22,3.44,201
Black House,Modern Times Beer,San Diego,CA,American Stout,16 oz.,5.80%,40,96,97,172,3.64,174
Blazing World,Modern Times Beer,San Diego,CA,American Amber / Red Ale,16 oz.,6.80%,85,98,100,182,3.71,204
Booming Rollers,Modern Times Beer,San Diego,CA,American IPA,16 oz. ,6.80%,N/A,97,96,50,3.64,204
City of the Sun,Modern Times Beer,San Diego,CA,American IPA,16 oz.,7.60%,85,97,97,32,3.67,228
Fortunate Islands,Modern Times Beer,San Diego,CA,American Pale Wheat Ale,16 oz.,4.80%,46,99,100,166,3.79,144
Lomaland,Modern Times Beer,San Diego,CA,Saison / Farmhouse Ale,16 oz.,5.50%,30,85,66,112,3.39,165
Oneida,Modern Times Beer,San Diego,CA,American Pale Ale (APA),16 oz.,5.80%,50,94,97,33,3.56,174
Wapiti Amber Ale,Mogollon Brewing Company,Flagstaff,AZ,American Amber / Red Ale,12 oz.,5.00%,N/A,48,65,51,3.05,162
Monkey Paw Oatmeal Pale Ale,Monkey Paw Pub & Brewery,San Diego,CA,American Pale Ale (APA),16 oz.,5.80%,N/A,75,70,14,3.29,162
Rich Man's IIPA,Monkey Paw Pub & Brewery,San Diego,CA,American Double / Imperial IPA,16 oz.,8.70%,78,88,45,29,3.43,261
Sweet Georgia Brown,Monkey Paw Pub & Brewery,San Diego,CA,American Brown Ale,16 oz.,5.40%,20,84,93,29,3.37,174
Black Bear Dark Lager,Morgan Street Brewery,Saint Louis,MO,Schwarzbier,12 oz.,4.60%,24,59,73,34,3.17,138
Golden Pilsner,Morgan Street Brewery,Saint Louis,MO,German Pilsener,12 oz.,5.00%,35,34,66,52,2.89,N/A
Honey Wheat,Morgan Street Brewery,Saint Louis,MO,American Pale Wheat Ale,12 oz.,4.70%,N/A,23,37,56,2.76,150
Second Wind Pale Ale,Mother Earth Brewing Company,Kinston,NC,American Pale Ale (APA),12 oz.,5.00%,N/A,64,50,74,3.21,150
Sunny Haze,Mother Earth Brewing Company,Kinston,NC,Hefeweizen,12 oz.,5.00%,N/A,64,92,58,3.22,147
Desert Magic IPA,Mudshark Brewing Company,Lake Havasu City,AZ,American IPA,12 oz.,7.20%,N/A,56,33,49,3.16,216
Dry Heat Hefeweizen (2006),Mudshark Brewing Company,Lake Havasu City,AZ,Hefeweizen,12 oz.,5.50%,N/A,16,11,42,2.6,150
Full Moon Belgian White Ale,Mudshark Brewing Company,Lake Havasu City,AZ,Witbier,12 oz.,8.50%,N/A,28,29,81,2.82,255
Up River Light,Mudshark Brewing Company,Lake Havasu City,AZ,Light Lager,12 oz.,4.20%,N/A,14,92,25,2.53,135
Mustang Golden Ale,Mustang Brewing Company,Mustang,OK,American Blonde Ale,12 oz.,5.30%,10,26,31,31,2.79,159
Washita Wheat,Mustang Brewing Company,Mustang,OK,American Pale Wheat Ale,12 oz.,5.30%,14,24,38,57,2.77,159
Narragansett Bock,Narragansett Brewing Company,Providence,RI,Bock,16 oz.,6.50%,32,43,46,56,3,195
Narragansett Bohemian Pilsner,Narragansett Brewing Company,Providence,RI,American Pilsner,16 oz.,5.20%,30,44,86,27,3.04,156
Narragansett Cream Ale,Narragansett Brewing Company,Providence,RI,Cream Ale,16 oz.,5.00%,22,38,64,59,2.93,150
Narragansett Del's Shandy,Narragansett Brewing Company,Providence,RI,Fruit / Vegetable Beer,16 oz.,5.00%,N/A,34,64,41,2.91,150
Narragansett Fest Lager,Narragansett Brewing Company,Providence,RI,Marzen / Oktoberfest,16 oz.,5.50%,15,36,46,95,2.92,165
Narragansett Lager,Narragansett Brewing Company,Providence,RI,American Pale Lager,16 oz.,5.00%,12,11,87,334,2.43,150
Narragansett Light,Narragansett Brewing Company,Providence,RI,Light Lager,16 oz.,3.80%,10,9,78,22,2.32,114
Narragansett Porter,Narragansett Brewing Company,Providence,RI,American Porter,16 oz.,7.00%,22,61,40,91,3.17,210
Narragansett Summer Ale,Narragansett Brewing Company,Providence,RI,American Pale Wheat Ale,16 oz.,4.20%,24,39,10,95,2.95,126
CuDa Cascadian Dark Ale,Natian Brewery,Portland,OR,American Black Ale,16 oz.,7.40%,N/A,80,40,23,3.33,222
Old Grogham Imperial India Pale Ale,Natian Brewery,Portland,OR,American Double / Imperial IPA,16 oz.,8.50%,86,63,16,37,3.21,255
Undun Blonde Ale,Natian Brewery,Portland,OR,American Blonde Ale,16 oz.,5.30%,N/A,39,49,10,2.95,159
Brunette Nut Brown Ale,Nebraska Brewing Company,Papillion,NE,English Brown Ale,12 oz.,4.80%,15,69,78,111,3.24,141
Cardinal Pale Ale,Nebraska Brewing Company,Papillion,NE,American Pale Ale (APA),12 oz.,6.00%,42,89,91,146,3.44,180
EOS Hefeweizen,Nebraska Brewing Company,Papillion,NE,Hefeweizen,12 oz.,5.20%,13,84,98,122,3.38,156
Nebraska India Pale Ale,Nebraska Brewing Company,Papillion,NE,American IPA,12 oz.,6.90%,72,95,94,181,3.6,207
Blitzkrieg Hops,Neshaminy Creek Brewing Company,Croydon,PA,American Double / Imperial IPA,16 oz.,9.00%,N/A,81,35,32,3.34,270
Churchville Lager,Neshaminy Creek Brewing Company,Croydon,PA,Vienna Lager,12 oz.,5.00%,N/A,53,95,29,3.15,150
County Line IPA,Neshaminy Creek Brewing Company,Croydon,PA,American IPA,16 oz.,6.60%,N/A,82,62,71,3.36,198
Croydon Cream Ale,Neshaminy Creek Brewing Company,Croydon,PA,Cream Ale,12 oz.,4.40%,N/A,42,75,39,3.01,132
Juicy Ale with Nugget,Neshaminy Creek Brewing Company,Croydon,PA,American Pale Ale (APA),12 oz.,5.30%,N/A,84,85,34,3.38,159
The Shape of Hops to Come,Neshaminy Creek Brewing Company,Croydon,PA,American Double / Imperial IPA,16 oz.,8.50%,N/A,97,84,28,3.64,255
Trauger Pilsner,Neshaminy Creek Brewing Company,Croydon,PA,American Pilsner,12 oz.,4.80%,N/A,78,97,47,3.32,144
Tribute Tripel,Neshaminy Creek Brewing Company,Croydon,PA,Tripel,12 oz.,9.30%,N/A,79,69,48,3.32,279
Fat Tire Amber Ale,New Belgium Brewing Company,Fort Collins,CO,American Amber / Red Ale,12 oz.,5.20%,N/A,47,65,2798,3.08,156
Ranger IPA,New Belgium Brewing Company,Fort Collins,CO,American IPA,12 oz.,6.50%,70,95,92,1532,3.57,195
Shift,New Belgium Brewing Company,Fort Collins,CO,American Pale Lager,16 oz.,5.00%,29,69,95,449,3.24,150
Sunshine Wheat Beer,New Belgium Brewing Company,Fort Collins,CO,American Pale Wheat Ale,12 oz.,4.80%,N/A,47,77,749,3.07,144
668 Neighbor of the Beast,New England Brewing Company,Woodbridge,CT,Belgian Pale Ale,16 oz.,9.00%,N/A,93,87,121,3.52,255
Atlantic Amber Ale,New England Brewing Company,Woodbridge,CT,American Amber / Red Ale,12 oz.,5.00%,N/A,57,72,131,3.16,N/A
Elm City Pilsner,New England Brewing Company,Woodbridge,CT,American Pilsner,12 oz.,5.00%,N/A,46,87,138,3.06,N/A
Gandhi-Bot Double IPA (16 oz.) (2010),New England Brewing Company,Woodbridge,CT,American Double / Imperial IPA,16 oz.,8.80%,85,99,96,253,3.82,264
Sea Hag IPA,New England Brewing Company,Woodbridge,CT,American IPA,12 oz.,6.20%,N/A,89,78,438,3.44,186
Hopitoulas IPA,New Orleans Lager & Ale Brewing ...,New Orleans,LA,American IPA,16 oz.,6.50%,N/A,90,81,131,3.46,195
MechaHopzilla,New Orleans Lager & Ale Brewing ...,New Orleans,LA,American Double / Imperial IPA,16 oz.,8.80%,N/A,74,25,64,3.28,264
NOLA Blonde Ale,New Orleans Lager & Ale Brewing ...,New Orleans,LA,American Blonde Ale,12 oz.,4.90%,N/A,35,44,90,2.91,147
NOLA Brown Ale,New Orleans Lager & Ale Brewing ...,New Orleans,LA,English Dark Mild Ale,12 oz.,3.90%,N/A,46,46,74,3.06,117
Nut Brown Ale,New South Brewing Company,Myrtle Beach,SC,English Brown Ale,12 oz.,5.40%,N/A,19,9,28,2.68,126
White Ale,New South Brewing Company,Myrtle Beach,SC,Witbier,12 oz.,4.60%,N/A,18,14,55,2.66,138
Green Head IPA,Newburyport Brewing Company,Newburyport,MA,American IPA,12 oz.,7.20%,N/A,90,81,44,3.46,216
Newburyport Pale Ale,Newburyport Brewing Company,Newburyport,MA,American Pale Ale (APA),12 oz.,5.50%,N/A,74,70,21,3.29,165
Plum Island Belgian White,Newburyport Brewing Company,Newburyport,MA,Witbier,12 oz.,5.40%,N/A,79,94,22,3.32,162
Cavu,NoDa Brewing Company,Charlotte,NC,American Blonde Ale,16 oz.,4.60%,18,49,83,20,3.11,138
Coco Loco Porter,NoDa Brewing Company,Charlotte,NC,American Porter,16 oz.,6.20%,32,96,98,82,3.63,186
"Hop, Drop 'n Roll",NoDa Brewing Company,Charlotte,NC,Amercian IPA,16 oz.,7.20%,80,99,98,189,3.82,216
Jam Session,NoDa Brewing Company,Charlotte,NC,American Pale Ale (APA),16 oz.,5.10%,N/A,91,94,55,3.48,153
Floppin' Crappie,Northwoods Brewpub,Eau Claire,WI,American Pale Wheat Ale,12 oz.,4.50%,N/A,8,4,54,2.29,150
Walter's Premium Pilsener Beer,Northwoods Brewpub,Eau Claire,WI,German Pilsener,12 oz.,4.30%,N/A,17,34,20,2.58,129
Watershed IPA,Oakshire Brewing,Eugene,OR,American IPA,12 oz.,6.70%,70,94,92,182,3.56,201
Occidental Altbier,Occidental Brewing Company,Portland,OR,Altbier,16 oz.,5.00%,N/A,78,92,18,3.31,165
Occidental Dunkel,Occidental Brewing Company,Portland,OR,Dunkelweizen,16 oz.,5.10%,N/A,55,88,13,3.14,153
Occidental Kolsch,Occidental Brewing Company,Portland,OR,Kolsch,16 oz.,4.50%,N/A,68,96,32,3.23,132
O'Fallon Wheach,O'Fallon Brewery,O'Fallon,MO,Fruit / Vegetable Beer,12 oz.,5.10%,7,48,84,251,3.1,142
Boji Beach Golden Rye Ale,Okoboji Brewing Company,Spirit Lake,IA,Rye Beer,16 oz.,5.00%,23,28,33,9,2.79,150
Boji Blue Pale Ale,Okoboji Brewing Company,Spirit Lake,IA,American Pale Ale (APA),16 oz.,5.00%,45,25,8,14,2.74,150
Midwest Charm Farmhouse Ale,Okoboji Brewing Company,Spirit Lake,IA,Saison / Farmhouse Ale,16 oz.,6.00%,29,55,20,12,3.13,180
The Hole in Hadrian's Wall,Okoboji Brewing Company,Spirit Lake,IA,Scottish Ale,16 oz.,9.50%,19,47,21,11,3.05,285
Celestial Blonde Ale,Old Forge Brewing Company,Danville,PA,American Blonde Ale,16 oz.,6.50%,N/A,46,45,32,3.04,195
Endless Summer Ale,Old Forge Brewing Company,Danville,PA,American Pale Wheat Ale,16 oz.,4.80%,N/A,24,27,29,2.76,144
Overbite IPA,Old Forge Brewing Company,Danville,PA,American IPA,16 oz.,7.50%,N/A,89,79,41,3.45,225
T-Rail Pale Ale,Old Forge Brewing Company,Danville,PA,American Pale Ale (APA),16 oz.,5.50%,N/A,60,48,61,3.19,165
Chaka,Oskar Blues Brewery,Longmont,CO,Belgian Strong Pale Ale,16 oz. ,8.00%,N/A,86,73,75,3.4,240
Dale's Pale Ale,Oskar Blues Brewery,Longmont,CO,American Pale Ale (APA),12 oz.,6.50%,65,98,99,2441,3.72,195
Deviant Dale's IPA,Oskar Blues Brewery,Longmont,CO,American Double / Imperial IPA,16 oz.,8.00%,N/A,99,99,1115,3.84,240
G'KNIGHT (16 oz.),Oskar Blues Brewery,Longmont,CO,American Double / Imperial IPA,16 oz.,8.70%,85,99,98,1715,3.84,261
GUBNA Imperial IPA,Oskar Blues Brewery,Longmont,CO,American Double / Imperial IPA,12 oz.,10.00%,100,98,94,1090,3.75,300
HGH (Home Grown Hops): Part Duh,Oskar Blues Brewery,Longmont,CO,American Strong Ale,12 oz.,8.00%,70,94,70,29,3.54,240
IceyPA,Oskar Blues Brewery,Longmont,CO,American IPA,16 oz. ,7.00%,N/A,93,88,83,3.52,210
Leroy (2005),Oskar Blues Brewery,Longmont,CO,American Brown Ale,12 oz.,5.20%,N/A,69,78,97,3.24,150
Mama's Little Yella Pils,Oskar Blues Brewery,Longmont,CO,Czech Pilsener,12 oz.,5.30%,35,50,92,1091,3.13,159
Old Chub,Oskar Blues Brewery,Longmont,CO,Scottish Ale,12 oz.,8.00%,35,97,97,1936,3.69,240
One Hit Wonder,Oskar Blues Brewery,Longmont,CO,American Double / Imperial IPA,12 oz.,9.00%,60,92,47,35,3.48,270
oSKAr the G'Rauch,Oskar Blues Brewery,Longmont,CO,American IPA,16 oz.,8.50%,N/A,92,89,107,3.49,255
Ten Fidy Imperial Stout,Oskar Blues Brewery,Longmont,CO,Russian Imperial Stout,12 oz.,10.50%,98,100,98,2229,4.1,315
The Deuce,Oskar Blues Brewery,Longmont,CO,American Brown Ale,16 oz. ,7.00%,N/A,95,99,87,3.6,210
Cache La Porter,Pateros Creek Brewing Company,Fort Collins,CO,American Porter,16 oz.,5.00%,24,34,9,29,2.89,150
Car 21,Pateros Creek Brewing Company,Fort Collins,CO,English Bitter,16 oz.,4.40%,28,40,49,10,2.95,135
Old Town Ale,Pateros Creek Brewing Company,Fort Collins,CO,Kolsch,16 oz.,4.50%,22,25,32,19,2.77,150
Stimulator Pale Ale,Pateros Creek Brewing Company,Fort Collins,CO,American Pale Ale (APA),16 oz.,5.30%,48,22,6,10,2.71,150
Mutton Buster,Payette Brewing Company,Garden City,ID,American Brown Ale,12 oz.,5.50%,25,47,48,21,3.08,165
North Fork Lager,Payette Brewing Company,Garden City,ID,American Pale Lager,12 oz.,4.40%,N/A,54,100,19,3.15,144
Outlaw IPA,Payette Brewing Company,Garden City,ID,American IPA,12 oz.,6.20%,65,78,52,43,3.32,195
Payette Pale Ale,Payette Brewing Company,Garden City,ID,American Pale Ale (APA),12 oz.,4.80%,35,62,50,25,3.2,144
Side Kick Kolsch,Peace Tree Brewing Company,Knoxville,IA,Kolsch,12 oz.,5.00%,N/A,48,85,28,3.1,150
Perrin Golden Ale,Perrin Brewing Company,Comstock Park,MI,American Blonde Ale,12 oz.,4.80%,15,32,40,12,2.87,144
Perrin IPA,Perrin Brewing Company,Comstock Park,MI,American IPA,12 oz.,7.00%,65,83,60,13,3.35,210
Pete's Wicked Pale Ale (1997),Pete's Brewing Company,San Antonio,TX,American Pale Ale (APA),12 oz.,5.30%,N/A,39,34,838,2.96,159
Pete's Wicked Summer Brew (1995),Pete's Brewing Company,San Antonio,TX,American Pale Wheat Ale,12 oz.,4.70%,N/A,30,45,207,2.84,141
Black Walnut Wheat,Piney River Brewing Company,Bucryus,MO,American Dark Wheat Ale,16 oz.,4.50%,18,61,89,23,3.19,135
Float Trip Ale,Piney River Brewing Company,Bucryus,MO,American Blonde Ale,16 oz.,4.50%,18,43,62,11,3.01,135
McKinney Eddy Amber Ale,Piney River Brewing Company,Bucryus,MO,American Amber / Red Ale,16 oz.,5.50%,20,41,47,12,2.98,N/A
Missouri Mule India Pale Ale,Piney River Brewing Company,Bucryus,MO,American IPA,16 oz.,7.00%,70,71,45,28,3.26,210
Old Tom Porter,Piney River Brewing Company,Bucryus,MO,American Porter,16 oz.,5.50%,25,71,50,23,3.26,165
Ninja v Unicorn,Pipeworks Brewing Company,Chicago,IL,American Double / Imperial IPA,16 oz,9.00%,150,100,99,329,3.95,270
Chronic,Pizza Port,Carlsbad,CA,American Amber / Red Ale,16 oz.,5.80%,N/A,58,72,114,3.17,174
Ponto,Pizza Port,Carlsbad,CA,American IPA,16 oz.,4.50%,N/A,97,99,229,3.66,135
Swami,Pizza Port,Carlsbad,CA,American IPA,16 oz.,6.80%,N/A,98,98,383,3.71,204
Liquid Amber Ale,Prescott Brewing Company,Prescott,AZ,American Amber / Red Ale,12 oz.,5.00%,17,26,28,49,2.81,N/A
Ponderosa IPA,Prescott Brewing Company,Prescott,AZ,American IPA,12 oz.,6.00%,N/A,90,82,95,3.47,180
Morning Wood Wheat,Pug Ryan's Brewery,Dillon,CO,American Pale Wheat Ale,12 oz.,5.90%,14,22,34,33,2.73,N/A
Over the Rail Pale Ale,Pug Ryan's Brewery,Dillon,CO,American Pale Ale (APA),12 oz.,5.70%,68,47,37,26,3.08,N/A
Peacemaker Pilsner,Pug Ryan's Brewery,Dillon,CO,German Pilsener,12 oz.,5.80%,21,40,79,31,2.96,174
Pyramid Hefeweizen,Pyramid Breweries,Seattle,WA,Hefeweizen,16 oz.,5.20%,18,29,45,1028,2.84,156
Firemans #4 Blonde Ale,Real Ale Brewing Company,Blanco,TX,American Blonde Ale,12 oz.,5.10%,21,29,36,318,2.84,153
Four Squared,Real Ale Brewing Company,Blanco,TX,American Blonde Ale,12 oz.,6.00%,50,92,100,91,3.5,216
Hans' Pils,Real Ale Brewing Company,Blanco,TX,German Pilsener,12 oz.,5.30%,52,87,99,101,3.41,159
Gangway IPA,Red Hare Brewing Company,Marietta,GA,American IPA,12 oz.,6.20%,65,82,61,118,3.35,207
Long Day Lager,Red Hare Brewing Company,Marietta,GA,Czech Pilsener,12 oz.,4.90%,25,38,83,71,2.95,149
Watership Brown Ale,Red Hare Brewing Company,Marietta,GA,American Brown Ale,12 oz.,7.20%,55,65,72,62,3.22,216
Copper Hook (2011),Redhook Brewery,Woodinville,WA,American Amber / Red Ale,12 oz.,5.80%,25,30,33,406,2.83,174
Long Hammer IPA,Redhook Brewery,Woodinville,WA,American IPA,16 oz.,6.50%,44,42,28,1460,3,195
5:00 O'Clock Afternoon Ale,Renegade Brewing Company,Denver,CO,American Blonde Ale,16 oz.,5.00%,25,34,43,30,2.9,150
Consilium Pale Ale,Renegade Brewing Company,Denver,CO,American Pale Ale (APA),12 oz.,5.40%,40,48,39,18,3.09,162
Elevation Triple India Pale Ale,Renegade Brewing Company,Denver,CO,American Double / Imperial IPA,12 oz.,11.20%,100,94,67,71,3.55,336
Hammer and Sickle Russian Imperial Stour,Renegade Brewing Company,Denver,CO,Russian Imperial Stout,12 oz.,9.00%,60,93,44,40,3.53,270
Hiatus,Renegade Brewing Company,Denver,CO,American Brown Ale,12 oz.,6.50%,40,64,70,19,3.21,195
Ryeteous Rye IPA,Renegade Brewing Company,Denver,CO,American IPA,16 oz.,7.00%,100,73,46,57,3.27,210
1ZENUFF,Revolution Brewing Company,Chicago,IL,American Double / Imperial IPA,12 oz.,11.00%,100,95,77,20,3.62,330
A Little Crazy,Revolution Brewing Company,Chicago,IL,Belgian Pale Ale,12 oz.,6.80%,35,95,98,181,3.57,204
Anti-Hero IPA,Revolution Brewing Company,Chicago,IL,American IPA,12 oz.,6.50%,70,97,97,413,3.69,195
Bottom Up Belgian Wit,Revolution Brewing Company,Chicago,IL,Witbier,12 oz.,5.00%,14,84,96,183,3.38,150
Eugene Porter,Revolution Brewing Company,Chicago,IL,American Porter,12 oz.,6.80%,28,96,98,222,3.63,204
Fist City,Revolution Brewing Company,Chicago,IL,American Pale Ale (APA),12 oz.,5.50%,N/A,93,96,33,3.53,165
Fistmas Ale,Revolution Brewing Company,Chicago,IL,Herbed / Spiced Beer,12 oz.,6.10%,31,90,96,120,3.46,189
Oktoberfest Revolution,Revolution Brewing Company,Chicago,IL,Marzen / Oktoberfest,12 oz.,5.70%,25,85,99,88,3.38,189
Rosa Hibiscus Ale,Revolution Brewing Company,Chicago,IL,Herbed / Spiced Beer,12 oz.,5.80%,15,46,52,123,3.06,174
Unsessionable,Revolution Brewing Company,Chicago,IL,American Double / Imperial IPA,12 oz.,10.00%,100,99,96,50,3.81,300
Café Ink,Rhinegeist Brewery,Cincinnati,OH,American Stout,12 oz.,10.00%,85,88,31,10,3.42,300
Cougar,Rhinegeist Brewery,Cincinnati,OH,American Blonde Ale,12 oz.,4.80%,25,48,81,41,3.1,144
Dad,Rhinegeist Brewery,Cincinnati,OH,American Amber / Red Lager,12 oz.,6.00%,60,57,81,18,3.17,180
Hustle,Rhinegeist Brewery,Cincinnati,OH,Rye Beer,12 oz.,5.70%,42,74,82,14,3.28,171
Panther,Rhinegeist Brewery,Cincinnati,OH,American Porter,12 oz.,5.80%,35,89,87,33,3.44,174
Pure Fury,Rhinegeist Brewery,Cincinnati,OH,American Pale Ale (APA),12 oz.,5.50%,42,92,95,31,3.5,165
Truth,Rhinegeist Brewery,Cincinnati,OH,American IPA,12 oz.,7.20%,75,97,96,110,3.64,216
Zen,Rhinegeist Brewery,Cincinnati,OH,American Pale Ale (APA),12 oz.,4.30%,45,85,86,29,3.39,129
Babbling Blonde,Rivertowne Brewing Company,Export,PA,American Blonde Ale,12 oz.,5.30%,N/A,19,19,50,2.69,159
Grateful White,Rivertowne Brewing Company,Export,PA,Witbier,12 oz.,6.10%,N/A,47,64,60,3.08,183
Hala Kahiki Pineapple Beer,Rivertowne Brewing Company,Export,PA,Fruit / Vegetable Beer,12 oz.,4.80%,N/A,44,78,105,3.03,144
Maxwell's Scottish Ale,Rivertowne Brewing Company,Export,PA,Scottish Ale,12 oz.,5.10%,N/A,55,69,57,3.16,162
Old Wylie's IPA,Rivertowne Brewing Company,Export,PA,American IPA,12 oz.,6.20%,N/A,61,37,83,3.2,186
RT Lager,Rivertowne Brewing Company,Export,PA,American Amber / Red Lager,12 oz.,5.50%,N/A,40,83,30,2.98,162
Cornerstone IPA,Rochester Mills Brewing Company,Rochester,MI,American IPA,16 oz.,7.00%,N/A,68,42,57,3.24,198
Lazy Daze Lager,Rochester Mills Brewing Company,Rochester,MI,American Adjunct Lager,12 oz.,5.50%,N/A,23,41,16,2.75,159
Milkshake Stout,Rochester Mills Brewing Company,Rochester,MI,Milk / Sweet Stout,16 oz.,5.00%,N/A,89,78,82,3.44,165
Rochester Red Ale,Rochester Mills Brewing Company,Rochester,MI,American Amber / Red Ale,16 oz.,5.90%,N/A,48,67,33,3.09,189
1881 California Red Ale,Ruhstaller Beer Company,Sacramento,CA,American Amber / Red Ale,16 oz.,5.60%,35,75,92,61,3.29,168
The Captain,Ruhstaller Beer Company,Sacramento,CA,American Black Ale,16 oz.,7.30%,55,92,73,94,3.51,219
Black IPA,Santa Fe Brewing Company,Santa Fe,NM,American Black Ale,12 oz.,7.10%,95,91,66,88,3.48,213
Freestyle Pilsner,Santa Fe Brewing Company,Santa Fe,NM,German Pilsener,12 oz.,5.50%,N/A,49,91,71,3.11,165
Happy Camper IPA,Santa Fe Brewing Company,Santa Fe,NM,American IPA,12 oz.,6.60%,N/A,87,73,267,3.41,198
Imperial Java Stout,Santa Fe Brewing Company,Santa Fe,NM,Russian Imperial Stout,12 oz.,8.00%,N/A,98,82,316,3.77,240
Santa Fe Irish Red Ale,Santa Fe Brewing Company,Santa Fe,NM,Irish Red Ale,12 oz.,4.50%,N/A,54,87,29,3.14,144
